province,district_label,cat_92
ชลบุรี,ชลบุรี เขต 5,E
ชลบุรี,ชลบุรี เขต 6,E
ชลบุรี,ชลบุรี เขต 7,E
ชลบุรี,ชลบุรี เขต 8,E
ชลบุรี,ชลบุรี เขต 9,E
ชลบุรี,ชลบุรี เขต 10,E
ชัยนาท,ชัยนาท เขต 1,E
ชัยนาท,ชัยนาท เขต 2,E
ชัยภูมิ,ชัยภูมิ เขต 1,E
ชัยภูมิ,ชัยภูมิ เขต 2,E
ชัยภูมิ,ชัยภูมิ เขต 3,E
ชัยภูมิ,ชัยภูมิ เขต 4,E
ชัยภูมิ,ชัยภูมิ เขต 5,E
ชัยภูมิ,ชัยภูมิ เขต 6,E
ชัยภูมิ,ชัยภูมิ เขต 7,E
ชุมพร,ชุมพร เขต 1,E
ชุมพร,ชุมพร เขต 2,E
ชุมพร,ชุมพร เขต 3,E
ตรัง,ตรัง เขต 1,E
ตรัง,ตรัง เขต 2,E
ตรัง,ตรัง เขต 3,E
ตรัง,ตรัง เขต 4,E
ตราด,ตราด เขต 1,E
ตาก,ตาก เขต 1,E
ตาก,ตาก เขต 2,E
ตาก,ตาก เขต 3,E
นครนายก,นครนายก เขต 1,E
นครนายก,นครนายก เขต 2,E
นครปฐม,นครปฐม เขต 1,E
นครปฐม,นครปฐม เขต 2,E
นครปฐม,นครปฐม เขต 3,E
นครปฐม,นครปฐม เขต 4,E
นครปฐม,นครปฐม เขต 5,E
นครปฐม,นครปฐม เขต 6,E
นครพนม,นครพนม เขต 1,E
นครพนม,นครพนม เขต 2,E
นครพนม,นครพนม เขต 3,E
นครพนม,นครพนม เขต 4,E
นครราชสีมา,นครราชสีมา เขต 1,E
นครราชสีมา,นครราชสีมา เขต 2,E
นครราชสีมา,นครราชสีมา เขต 3,E
นครราชสีมา,นครราชสีมา เขต 4,E
นครราชสีมา,นครราชสีมา เขต 5,E
นครราชสีมา,นครราชสีมา เขต 6,E
นครราชสีมา,นครราชสีมา เขต 7,E
นครราชสีมา,นครราชสีมา เขต 8,E
นครราชสีมา,นครราชสีมา เขต 9,E
นครราชสีมา,นครราชสีมา เขต 10,E
นครราชสีมา,นครราชสีมา เขต 11,E
นครราชสีมา,นครราชสีมา เขต 12,E
นครราชสีมา,นครราชสีมา เขต 13,E
นครราชสีมา,นครราชสีมา เขต 14,E
นครราชสีมา,นครราชสีมา เขต 15,E
นครราชสีมา,นครราชสีมา เขต 16,E
นครศรีธรรมราช,นครศรีธรรมราช เขต 1,E
นครศรีธรรมราช,นครศรีธรรมราช เขต 2,E
นครศรีธรรมราช,นครศรีธรรมราช เขต 3,E
นครศรีธรรมราช,นครศรีธรรมราช เขต 4,E
นครศรีธรรมราช,นครศรีธรรมราช เขต 5,E
นครศรีธรรมราช,นครศรีธรรมราช เขต 6,E
นครศรีธรรมราช,นครศรีธรรมราช เขต 7,E
นครศรีธรรมราช,นครศรีธรรมราช เขต 8,E
นครศรีธรรมราช,นครศรีธรรมราช เขต 9,E
นครสวรรค์,นครสวรรค์ เขต 1,E
นครสวรรค์,นครสวรรค์ เขต 2,E
นครสวรรค์,นครสวรรค์ เขต 3,E
นครสวรรค์,นครสวรรค์ เขต 4,E
นครสวรรค์,นครสวรรค์ เขต 5,E
นครสวรรค์,นครสวรรค์ เขต 6,E
นนทบุรี,นนทบุรี เขต 1,E
นนทบุรี,นนทบุรี เขต 2,E
นนทบุรี,นนทบุรี เขต 3,E
นนทบุรี,นนทบุรี เขต 4,E
นนทบุรี,นนทบุรี เขต 5,E
นนทบุรี,นนทบุรี เขต 6,E
นนทบุรี,นนทบุรี เขต 7,E
นนทบุรี,นนทบุรี เขต 8,E
นราธิวาส,นราธิวาส เขต 1,E
นราธิวาส,นราธิวาส เขต 2,E
นราธิวาส,นราธิวาส เขต 3,E
นราธิวาส,นราธิวาส เขต 4,E
นราธิวาส,นราธิวาส เขต 5,E
น่าน,น่าน เขต 1,E
น่าน,น่าน เขต 2,E
น่าน,น่าน เขต 3,E
บึงกาฬ,บึงกาฬ เขต 1,E
บึงกาฬ,บึงกาฬ เขต 2,E
บึงกาฬ,บึงกาฬ เขต 3,E
บุรีรัมย์,บุรีรัมย์ เขต 1,E
บุรีรัมย์,บุรีรัมย์ เขต 2,E
บุรีรัมย์,บุรีรัมย์ เขต 3,E
บุรีรัมย์,บุรีรัมย์ เขต 4,E
บุรีรัมย์,บุรีรัมย์ เขต 5,E
บุรีรัมย์,บุรีรัมย์ เขต 6,E
บุรีรัมย์,บุรีรัมย์ เขต 7,E
บุรีรัมย์,บุรีรัมย์ เขต 8,E
บุรีรัมย์,บุรีรัมย์ เขต 9,E
บุรีรัมย์,บุรีรัมย์ เขต 10,E
ปทุมธานี,ปทุมธานี เขต 1,E
ปทุมธานี,ปทุมธานี เขต 2,E
ปทุมธานี,ปทุมธานี เขต 3,E
ปทุมธานี,ปทุมธานี เขต 4,E
ปทุมธานี,ปทุมธานี เขต 5,E
ปทุมธานี,ปทุมธานี เขต 6,E
ปทุมธานี,ปทุมธานี เขต 7,E
ปทุมธานี,ปทุมธานี เขต 8,E
ประจวบคีรีขันธ์,ประจวบคีรีขันธ์ เขต 1,E
ประจวบคีรีขันธ์,ประจวบคีรีขันธ์ เขต 2,E
ประจวบคีรีขันธ์,ประจวบคีรีขันธ์ เขต 3,E
ปราจีนบุรี,ปราจีนบุรี เขต 1,E
ปราจีนบุรี,ปราจีนบุรี เขต 2,E
ปราจีนบุรี,ปราจีนบุรี เขต 3,E
ปัตตานี,ปัตตานี เขต 1,E
ปัตตานี,ปัตตานี เขต 2,E
ปัตตานี,ปัตตานี เขต 3,E
ปัตตานี,ปัตตานี เขต 4,E
ปัตตานี,ปัตตานี เขต 5,E
พระนครศรีอยุธยา,พระนครศรีอยุธยา เขต 1,E
พระนครศรีอยุธยา,พระนครศรีอยุธยา เขต 2,E
พระนครศรีอยุธยา,พระนครศรีอยุธยา เขต 3,E
พระนครศรีอยุธยา,พระนครศรีอยุธยา เขต 4,E
พระนครศรีอยุธยา,พระนครศรีอยุธยา เขต 5,E
พะเยา,พะเยา เขต 1,E
พะเยา,พะเยา เขต 2,E
พะเยา,พะเยา เขต 3,E
พังงา,พังงา เขต 1,E
พังงา,พังงา เขต 2,E
พัทลุง,พัทลุง เขต 1,E
พัทลุง,พัทลุง เขต 2,E
พัทลุง,พัทลุง เขต 3,E
พิจิตร,พิจิตร เขต 1,E
พิจิตร,พิจิตร เขต 2,E
พิจิตร,พิจิตร เขต 3,E
พิษณุโลก,พิษณุโลก เขต 1,E
พิษณุโลก,พิษณุโลก เขต 2,E
พิษณุโลก,พิษณุโลก เขต 3,E
พิษณุโลก,พิษณุโลก เขต 4,E
พิษณุโลก,พิษณุโลก เขต 5,E
ภูเก็ต,ภูเก็ต เขต 1,E
ภูเก็ต,ภูเก็ต เขต 2,E
ภูเก็ต,ภูเก็ต เขต 3,E
มหาสารคาม,มหาสารคาม เขต 1,E
มหาสารคาม,มหาสารคาม เขต 2,E
มหาสารคาม,มหาสารคาม เขต 3,E
มหาสารคาม,มหาสารคาม เขต 4,E
มหาสารคาม,มหาสารคาม เขต 5,E
มหาสารคาม,มหาสารคาม เขต 6,E
มุกดาหาร,มุกดาหาร เขต 1,E
มุกดาหาร,มุกดาหาร เขต 2,E
ยะลา,ยะลา เขต 1,E
ยะลา,ยะลา เขต 2,E
ยะลา,ยะลา เขต 3,E
ยโสธร,ยโสธร เขต 1,E
ยโสธร,ยโสธร เขต 2,E
ยโสธร,ยโสธร เขต 3,E
ระนอง,ระนอง เขต 1,E
ระยอง,ระยอง เขต 1,E
ระยอง,ระยอง เขต 2,E
ระยอง,ระยอง เขต 3,E
ระยอง,ระยอง เขต 4,E
ระยอง,ระยอง เขต 5,E
ราชบุรี,ราชบุรี เขต 1,E
ราชบุรี,ราชบุรี เขต 2,E
ราชบุรี,ราชบุรี เขต 3,E
ราชบุรี,ราชบุรี เขต 4,E
ราชบุรี,ราชบุรี เขต 5,E
ร้อยเอ็ด,ร้อยเอ็ด เขต 1,E
ร้อยเอ็ด,ร้อยเอ็ด เขต 2,E
ร้อยเอ็ด,ร้อยเอ็ด เขต 3,E
ร้อยเอ็ด,ร้อยเอ็ด เขต 4,E
ร้อยเอ็ด,ร้อยเอ็ด เขต 5,E
ร้อยเอ็ด,ร้อยเอ็ด เขต 6,E
ร้อยเอ็ด,ร้อยเอ็ด เขต 7,E
ร้อยเอ็ด,ร้อยเอ็ด เขต 8,E
ลพบุรี,ลพบุรี เขต 1,E
ลพบุรี,ลพบุรี เขต 2,E
ลพบุรี,ลพบุรี เขต 3,E
ลพบุรี,ลพบุรี เขต 4,E
ลำปาง,ลำปาง เขต 1,E
ลำปาง,ลำปาง เขต 2,E
ลำปาง,ลำปาง เขต 3,E
ลำปาง,ลำปาง เขต 4,E
ลำพูน,ลำพูน เขต 1,E
ลำพูน,ลำพูน เขต 2,E
ศรีสะเกษ,ศรีสะเกษ เขต 1,E
ศรีสะเกษ,ศรีสะเกษ เขต 2,E
ศรีสะเกษ,ศรีสะเกษ เขต 3,E
ศรีสะเกษ,ศรีสะเกษ เขต 4,E
ศรีสะเกษ,ศรีสะเกษ เขต 5,E
ศรีสะเกษ,ศรีสะเกษ เขต 6,E
ศรีสะเกษ,ศรีสะเกษ เขต 7,E
ศรีสะเกษ,ศรีสะเกษ เขต 8,E
ศรีสะเกษ,ศรีสะเกษ เขต 9,E
สกลนคร,สกลนคร เขต 1,E
สกลนคร,สกลนคร เขต 2,E
สกลนคร,สกลนคร เขต 3,E
สกลนคร,สกลนคร เขต 4,E
สกลนคร,สกลนคร เขต 5,E
สกลนคร,สกลนคร เขต 6,E
สกลนคร,สกลนคร เขต 7,E
สงขลา,สงขลา เขต 1,E
สงขลา,สงขลา เขต 2,E
สงขลา,สงขลา เขต 3,E
สงขลา,สงขลา เขต 4,E
สงขลา,สงขลา เขต 5,E
สงขลา,สงขลา เขต 6,E
สงขลา,สงขลา เขต 7,E
สงขลา,สงขลา เขต 8,E
สงขลา,สงขลา เขต 9,E
สตูล,สตูล เขต 1,E
สตูล,สตูล เขต 2,E
สมุทรปราการ,สมุทรปราการ เขต 1,E
สมุทรปราการ,สมุทรปราการ เขต 2,E
สมุทรปราการ,สมุทรปราการ เขต 3,E
สมุทรปราการ,สมุทรปราการ เขต 4,E
สมุทรปราการ,สมุทรปราการ เขต 5,E
สมุทรปราการ,สมุทรปราการ เขต 6,E
สมุทรปราการ,สมุทรปราการ เขต 7,E
สมุทรปราการ,สมุทรปราการ เขต 8,E
สมุทรสงคราม,สมุทรสงคราม เขต 1,E
สมุทรสาคร,สมุทรสาคร เขต 1,E
สมุทรสาคร,สมุทรสาคร เขต 2,E
สมุทรสาคร,สมุทรสาคร เขต 3,E
สมุทรสาคร,สมุทรสาคร เขต 4,E
สระบุรี,สระบุรี เขต 1,E
สระบุรี,สระบุรี เขต 2,E
สระบุรี,สระบุรี เขต 3,E
สระบุรี,สระบุรี เขต 4,E
สระแก้ว,สระแก้ว เขต 1,E
สระแก้ว,สระแก้ว เขต 2,E
สระแก้ว,สระแก้ว เขต 3,E
สิงห์บุรี,สิงห์บุรี เขต 1,E
สุพรรณบุรี,สุพรรณบุรี เขต 1,E
สุพรรณบุรี,สุพรรณบุรี เขต 2,E
สุพรรณบุรี,สุพรรณบุรี เขต 3,E
สุพรรณบุรี,สุพรรณบุรี เขต 4,E
สุพรรณบุรี,สุพรรณบุรี เขต 5,E
สุราษฎร์ธานี,สุราษฎร์ธานี เขต 1,E
สุราษฎร์ธานี,สุราษฎร์ธานี เขต 2,E
สุราษฎร์ธานี,สุราษฎร์ธานี เขต 3,E
สุราษฎร์ธานี,สุราษฎร์ธานี เขต 4,E
สุราษฎร์ธานี,สุราษฎร์ธานี เขต 5,E
สุราษฎร์ธานี,สุราษฎร์ธานี เขต 6,E
สุราษฎร์ธานี,สุราษฎร์ธานี เขต 7,E
สุรินทร์,สุรินทร์ เขต 1,E
สุรินทร์,สุรินทร์ เขต 2,E
สุรินทร์,สุรินทร์ เขต 3,E
สุรินทร์,สุรินทร์ เขต 4,E
สุรินทร์,สุรินทร์ เขต 5,E
สุรินทร์,สุรินทร์ เขต 6,E
สุรินทร์,สุรินทร์ เขต 7,E
สุรินทร์,สุรินทร์ เขต 8,E
สุโขทัย,สุโขทัย เขต 1,E
สุโขทัย,สุโขทัย เขต 2,E
สุโขทัย,สุโขทัย เขต 3,E
สุโขทัย,สุโขทัย เขต 4,E
หนองคาย,หนองคาย เขต 1,E
หนองคาย,หนองคาย เขต 2,E
หนองคาย,หนองคาย เขต 3,E
หนองบัวลำภู,หนองบัวลำภู เขต 1,E
หนองบัวลำภู,หนองบัวลำภู เขต 2,E
หนองบัวลำภู,หนองบัวลำภู เขต 3,E
อำนาจเจริญ,อำนาจเจริญ เขต 1,E
อำนาจเจริญ,อำนาจเจริญ เขต 2,E
อุดรธานี,อุดรธานี เขต 1,E
อุดรธานี,อุดรธานี เขต 2,E
อุดรธานี,อุดรธานี เขต 3,E
อุดรธานี,อุดรธานี เขต 4,E
อุดรธานี,อุดรธานี เขต 5,E
อุดรธานี,อุดรธานี เขต 6,E
อุดรธานี,อุดรธานี เขต 7,E
อุดรธานี,อุดรธานี เขต 8,E
อุดรธานี,อุดรธานี เขต 9,E
อุดรธานี,อุดรธานี เขต 10,E
อุตรดิตถ์,อุตรดิตถ์ เขต 1,E
อุตรดิตถ์,อุตรดิตถ์ เขต 2,E
อุตรดิตถ์,อุตรดิตถ์ เขต 3,E
อุทัยธานี,อุทัยธานี เขต 1,E
อุทัยธานี,อุทัยธานี เขต 2,E
อุบลราชธานี,อุบลราชธานี เขต 1,E
อุบลราชธานี,อุบลราชธานี เขต 2,E
อุบลราชธานี,อุบลราชธานี เขต 3,E
อุบลราชธานี,อุบลราชธานี เขต 4,E
อุบลราชธานี,อุบลราชธานี เขต 5,E
อุบลราชธานี,อุบลราชธานี เขต 6,E
อุบลราชธานี,อุบลราชธานี เขต 7,E
อุบลราชธานี,อุบลราชธานี เขต 8,E
อุบลราชธานี,อุบลราชธานี เขต 9,E
อุบลราชธานี,อุบลราชธานี เขต 10,E
อุบลราชธานี,อุบลราชธานี เขต 11,E
อ่างทอง,อ่างทอง เขต 1,E
อ่างทอง,อ่างทอง เขต 2,E
เชียงราย,เชียงราย เขต 1,E
เชียงราย,เชียงราย เขต 2,E
เชียงราย,เชียงราย เขต 3,E
เชียงราย,เชียงราย เขต 4,E
เชียงราย,เชียงราย เขต 5,E
เชียงราย,เชียงราย เขต 6,E
เชียงราย,เชียงราย เขต 7,E
เชียงใหม่,เชียงใหม่ เขต 1,E
เชียงใหม่,เชียงใหม่ เขต 2,E
เชียงใหม่,เชียงใหม่ เขต 3,E
เชียงใหม่,เชียงใหม่ เขต 4,E
เชียงใหม่,เชียงใหม่ เขต 5,E
เชียงใหม่,เชียงใหม่ เขต 6,E
เชียงใหม่,เชียงใหม่ เขต 7,E
เชียงใหม่,เชียงใหม่ เขต 8,E
เชียงใหม่,เชียงใหม่ เขต 9,E
เชียงใหม่,เชียงใหม่ เขต 10,E
เพชรบุรี,เพชรบุรี เขต 1,E
เพชรบุรี,เพชรบุรี เขต 2,E
เพชรบุรี,เพชรบุรี เขต 3,E
เพชรบูรณ์,เพชรบูรณ์ เขต 1,E
เพชรบูรณ์,เพชรบูรณ์ เขต 2,E
เพชรบูรณ์,เพชรบูรณ์ เขต 3,E
เพชรบูรณ์,เพชรบูรณ์ เขต 4,E
เพชรบูรณ์,เพชรบูรณ์ เขต 5,E
เพชรบูรณ์,เพชรบูรณ์ เขต 6,E
เลย,เลย เขต 1,E
เลย,เลย เขต 2,E
เลย,เลย เขต 3,E
เลย,เลย เขต 4,E
แพร่,แพร่ เขต 1,E
แพร่,แพร่ เขต 2,E
แพร่,แพร่ เขต 3,E
แม่ฮ่องสอน,แม่ฮ่องสอน เขต 1,E
แม่ฮ่องสอน,แม่ฮ่องสอน เขต 2,E
